Sindh,Larkana,UVW-502,2181,Available
Balochistan,Quetta,QCX-226,2867,Available
Punjab,Lahore,OTX-401,1923,Available
Balochistan,Gwadar,BEV-955,4959,Available
KPK,Mardan,ZHG-732,3630,Available
Balochistan,Gwadar,RJG-699,2371,Available
Punjab,Lahore,QHY-184,4071,Available
Balochistan,Gwadar,KXF-347,1528,Available
Punjab,Lahore,TWW-331,2403,Available
Balochistan,Quetta,VWN-637,4838,Available
Sindh,Larkana,GIH-665,1853,Available
KPK,Abbottabad,NFZ-265,4013,Available
Punjab,Lahore,CZX-554,3348,Available
Punjab,Lahore,WKW-784,4003,Available
KPK,Abbottabad,WKQ-009,3700,Available
Sindh,Karachi,NEP-840,4116,Available
Punjab,Rawalpindi,FFG-876,2669,Available
Punjab,Faisalabad,CKX-592,2449,Available
KPK,Peshawar,TSF-467,4190,Available
Balochistan,Gwadar,SBU-243,4518,Available
Balochistan,Quetta,YBR-709,4304,Available
Balochistan,Turbat,KGA-139,4849,Available
Sindh,Hyderabad,UYH-903,1573,Available
Punjab,Lahore,LDG-422,4060,Available
Punjab,Lahore,GSM-895,4067,Available
KPK,Mardan,RYY-298,1917,Available
Sindh,Sukkur,VOK-586,4387,Available
Balochistan,Quetta,NPC-881,1304,Available
Punjab,Lahore,INH-907,4472,Available
Balochistan,Gwadar,IXK-454,2327,Available
Punjab,Faisalabad,KUR-098,1694,Available
Punjab,Lahore,WUP-972,4397,Available
Punjab,Lahore,KLP-544,2421,Available
Punjab,Lahore,XJT-857,3078,Available
KPK,Swat,SKW-416,4993,Available
Balochistan,Turbat,ZJF-322,3643,Available
Sindh,Karachi,FGR-499,3477,Available
Punjab,Faisalabad,JWI-389,1051,Available
Balochistan,Sibi,FFA-625,3464,Available
KPK,Kohat,RZM-845,4945,Available
KPK,Swat,MGO-090,1548,Available
Balochistan,Quetta,AKW-889,3148,Available
Balochistan,Khuzdar,SRA-509,3433,Available
Sindh,Hyderabad,KAT-143,2474,Available
Sindh,Mirpur Khas,ZER-865,4858,Available
Punjab,Multan,XFW-809,3764,Available
Punjab,Lahore,NIX-358,2290,Available
Punjab,Lahore,VMB-689,4741,Available
Punjab,Gujranwala,YXZ-009,4989,Available
KPK,Abbottabad,LGC-697,4238,Available
KPK,Swat,GUA-227,3152,Available
Sindh,Larkana,DJD-994,3386,Available
KPK,Peshawar,LRB-193,2338,Available
KPK,Kohat,TPF-996,1879,Available
Balochistan,Khuzdar,WWI-938,4719,Available
Punjab,Lahore,WSN-975,4251,Available
Balochistan,Khuzdar,VDR-394,4131,Available
Sindh,Hyderabad,NYU-492,3662,Available
KPK,Swat,VCK-981,1991,Available
Balochistan,Quetta,UQE-467,4915,Available
Sindh,Sukkur,IVF-161,3287,Available
