Balochistan,Turbat,ORX-565,2512,Available
KPK,Swat,KBO-394,2765,Available
KPK,Peshawar,GXC-144,4441,Available
Balochistan,Khuzdar,DCC-456,1304,Available
Balochistan,Khuzdar,ICY-924,2935,Available
Punjab,Gujranwala,BLW-790,4713,Available
Sindh,Hyderabad,MOZ-508,1232,Available
Balochistan,Quetta,CKA-498,1176,Available
Punjab,Gujranwala,SHB-405,2433,Available
KPK,Mardan,MWB-425,3148,Available
Sindh,Sukkur,SUU-940,4648,Available
KPK,Abbottabad,VYG-570,3739,Available
Balochistan,Sibi,GAA-254,1173,Available
Punjab,Lahore,VUD-169,1099,Available
Punjab,Lahore,XEI-529,4497,Available
Punjab,Lahore,GDP-590,4487,Available
Balochistan,Quetta,XAZ-589,3939,Available
KPK,Mardan,HWM-742,3414,Available
Sindh,Mirpur Khas,QZR-703,2743,Available
KPK,Kohat,DNR-163,4563,Available
KPK,Kohat,LNV-847,2513,Available
Balochistan,Quetta,JTP-595,3962,Available
Punjab,Faisalabad,YPN-555,4666,Available
KPK,Kohat,ASZ-825,2316,Available
Balochistan,Khuzdar,ZJD-542,3551,Available
Punjab,Lahore,ENP-209,2648,Available
Balochistan,Gwadar,AGO-268,4987,Available
Punjab,Multan,JQD-846,4585,Available
KPK,Mardan,PXL-596,3539,Available
Sindh,Sukkur,NKE-677,2576,Available
Punjab,Lahore,HAO-591,2717,Available
Sindh,Karachi,OSU-715,4984,Available
Punjab,Lahore,KVM-442,3681,Available
Punjab,Lahore,UOB-266,2622,Available
Balochistan,Gwadar,XDS-805,3628,Available
Punjab,Lahore,ZVF-191,4349,Available
Punjab,Lahore,LHA-760,1982,Available
Balochistan,Turbat,ZTY-519,1473,Available
KPK,Swat,NCJ-174,2495,Available
Punjab,Lahore,WJI-547,2314,Available
Punjab,Lahore,OXM-368,2053,Available
Punjab,Lahore,HAB-835,1888,Available
Punjab,Lahore,VVI-977,1737,Available
Punjab,Lahore,AXW-779,2362,Available
Sindh,Sukkur,FXA-477,1572,Available
Balochistan,Sibi,AGG-746,4387,Available
Balochistan,Khuzdar,HHO-585,4504,Available
Sindh,Mirpur Khas,ESS-132,3257,Available
Punjab,Lahore,IYX-323,1379,Available
Punjab,Multan,AMJ-423,2176,Available
Balochistan,Sibi,RJD-478,1921,Available
Punjab,Lahore,XNT-823,1192,Available
Balochistan,Turbat,TUI-209,3861,Available
Punjab,Lahore,TXH-735,4972,Available
Balochistan,Quetta,VKV-964,1428,Available
Punjab,Lahore,GLS-682,1028,Available
Punjab,Multan,NLO-220,2532,Available
Balochistan,Gwadar,IDM-274,2037,Available
Punjab,Lahore,OFA-554,3547,Available
Balochistan,Khuzdar,UZU-475,1345,Available
KPK,Swat,JRY-243,3484,Available
Punjab,Lahore,FEE-806,4351,Available
Balochistan,Turbat,WSU-990,2510,Available
Punjab,Rawalpindi,UWJ-220,2445,Available
Sindh,Karachi,AAJ-510,4787,Available
Punjab,Gujranwala,YTG-766,4153,Available
Punjab,Lahore,JCW-299,2155,Available
Sindh,Hyderabad,YNQ-647,3561,Available
Punjab,Multan,NPB-805,3143,Available
Punjab,Lahore,RQH-993,4141,Available
Punjab,Lahore,QUM-766,2630,Available
Balochistan,Khuzdar,KVL-729,4910,Available
KPK,Mardan,XNY-196,2117,Available
Punjab,Rawalpindi,PKF-222,2514,Available
KPK,Peshawar,MAO-357,4028,Available
Punjab,Multan,NUJ-360,1293,Available
Balochistan,Quetta,IXG-595,4371,Available
Sindh,Larkana,EWM-308,4336,Available
Balochistan,Khuzdar,QHA-764,2824,Available
Balochistan,Khuzdar,GXT-553,2084,Available
Balochistan,Khuzdar,YGG-848,3475,Available
Sindh,Larkana,GKS-116,3665,Available
Sindh,Sukkur,EHX-890,2794,Available
KPK,Abbottabad,IKC-880,1142,Available
Punjab,Lahore,TWF-437,2280,Available
Balochistan,Khuzdar,GBR-560,4156,Available
Punjab,Lahore,QZI-636,2801,Available
KPK,Swat,FUU-201,3202,Available
Balochistan,Khuzdar,QCW-856,1708,Available
Punjab,Lahore,JYL-417,1001,Available
Balochistan,Quetta,DSF-756,3961,Available
Punjab,Lahore,QEA-542,4284,Available
Punjab,Lahore,PHM-791,2914,Available
Sindh,Hyderabad,EFC-153,1977,Available
Sindh,Hyderabad,FIF-556,1670,Available
Punjab,Lahore,QCV-782,1791,Available
Punjab,Lahore,CKS-713,2785,Available
Punjab,Multan,VCS-495,1002,Available
Punjab,Gujranwala,LIO-289,2855,Available
Punjab,Gujranwala,QZY-283,2104,Available
Sindh,Sukkur,IZT-162,2892,Available
KPK,Peshawar,MCB-562,3258,Available
Punjab,Rawalpindi,XLU-879,2153,Available
KPK,Peshawar,HKI-431,4392,Available
KPK,Kohat,LQW-491,4577,Available
Balochistan,Gwadar,GFH-898,4725,Available
KPK,Abbottabad,QHX-427,2144,Available
KPK,Abbottabad,DGW-815,1391,Available
Punjab,Lahore,HVI-978,1566,Available
Punjab,Lahore,OFA-477,1767,Available
Punjab,Gujranwala,THO-772,1360,Available
KPK,Mardan,BFM-469,4840,Available
Punjab,Lahore,WHB-851,4313,Available
Punjab,Lahore,NEW-831,2836,Available
Sindh,Hyderabad,DOT-882,3807,Available
Punjab,Faisalabad,WUN-125,1540,Available
KPK,Mardan,DWB-319,2205,Available
Balochistan,Gwadar,MAR-700,1169,Available
Punjab,Lahore,OSQ-226,1098,Available
Punjab,Faisalabad,FRZ-436,2100,Available
Balochistan,Quetta,LXY-362,2914,Available
Sindh,Mirpur Khas,GKS-633,2415,Available
Balochistan,Quetta,SMY-869,4154,Available
Sindh,Mirpur Khas,TWG-792,4157,Available
Punjab,Lahore,KIW-410,4910,Available
Sindh,Larkana,FCJ-905,4712,Available
Punjab,Lahore,GLD-761,2746,Available
Punjab,Lahore,EXG-204,4019,Available
Punjab,Faisalabad,BHS-120,1888,Available
Punjab,Faisalabad,MBE-261,2670,Available
Sindh,Karachi,ZUN-699,2975,Available
Punjab,Lahore,TDC-154,4619,Available
Sindh,Larkana,ZHL-825,1978,Available
Balochistan,Quetta,EPS-130,3648,Available
